Year,Month,Stage of processing number,Stage of processing details,Index Value,
2010,JUN,2.2,Materials and components for construction,100.8,
2010,JUN,2.3,Processed fuels and lubricants,102.7,
2010,JUN,2.4,Containers,101.5,
2010,JUN,2.5,Supplies,99.2,
2010,JUN,2.5.1,Manufacturing industries,99.0,
2010,JUN,2.5.2,Non-manufacturing industries,100.4,
2010,JUN,2.5.2.1,Feeds,-,
2010,JUN,2.5.2.2,Other supplies,100.4,
2010,JUN,3,Finished goods,100.3,
2010,JUN,3.1,Finished consumer goods,100.5,
2010,JUN,3.1.1,Finished consumer foods,99.5,
2010,JUN,3.1.1.1,Crude,99.2,
2010,JUN,3.1.1.2,Processed,99.5,
2010,JUN,3.1.2,Finished consumer goods excluding foods,100.9,
2010,JUN,3.1.2.1,Durable,100.3,
2010,JUN,3.1.2.2,Semi-durable,101.5,
2010,JUN,3.1.2.3,Non-durable,101.0,
2010,JUN,3.2,Capital equipment,100.2,
2010,JUN,3.2.1,Manufacturing industries,100.0,
2010,JUN,3.2.2,Non-manufacturing industries,100.3,
2010,JUL,Total,Total,98.5,
2010,JUL,1,Crude materials for further processing,95.8,
2010,JUL,1.1,Foodstuffs and feedstuffs,101.0,
2010,JUL,1.2,Non-food materials,94.4,
2010,JUL,1.2.1,Non-food materials except fuel,90.0,
2010,JUL,1.2.2,Crude fuel,96.3,
2010,JUL,2,Intermediate materials supplies and components,98.8,
2010,JUL,2.1,Materials and components for manufacturing,96.4,
2010,JUL,2.1.1,Materials for food manufacturing,93.7,
2010,JUL,2.1.2,Materials for others manufacturing,97.5,
2010,JUL,2.2,Materials and components for construction,101.2,
2010,JUL,2.3,Processed fuels and lubricants,102.2,
2010,JUL,2.4,Containers,101.4,
2010,JUL,2.5,Supplies,100.0,
2010,JUL,2.5.1,Manufacturing industries,100.0,
2010,JUL,2.5.2,Non-manufacturing industries,100.5,
2010,JUL,2.5.2.1,Feeds,-,
2010,JUL,2.5.2.2,Other supplies,100.5,
2010,JUL,3,Finished goods,100.0,
2010,JUL,3.1,Finished consumer goods,100.3,
2010,JUL,3.1.1,Finished consumer foods,100.3,
2010,JUL,3.1.1.1,Crude,104.4,
2010,JUL,3.1.1.2,Processed,99.9,
2010,JUL,3.1.2,Finished consumer goods excluding foods,100.3,
2010,JUL,3.1.2.1,Durable,100.2,
2010,JUL,3.1.2.2,Semi-durable,100.0,
2010,JUL,3.1.2.3,Non-durable,100.6,
2010,JUL,3.2,Capital equipment,99.9,
2010,JUL,3.2.1,Manufacturing industries,99.7,
2010,JUL,3.2.2,Non-manufacturing industries,100.1,
2010,AUG,Total,Total,99.0,
2010,AUG,1,Crude materials for further processing,96.6,
2010,AUG,1.1,Foodstuffs and feedstuffs,100.7,
2010,AUG,1.2,Non-food materials,95.6,
2010,AUG,1.2.1,Non-food materials except fuel,99.0,
2010,AUG,1.2.2,Crude fuel,94.1,
2010,AUG,2,Intermediate materials supplies and components,99.4,
2010,AUG,2.1,Materials and components for manufacturing,97.8,
2010,AUG,2.1.1,Materials for food manufacturing,98.6,
2010,AUG,2.1.2,Materials for others manufacturing,97.5,
2010,AUG,2.2,Materials and components for construction,101.1,
2010,AUG,2.3,Processed fuels and lubricants,101.7,
2010,AUG,2.4,Containers,101.3,
2010,AUG,2.5,Supplies,99.8,
2010,AUG,2.5.1,Manufacturing industries,99.7,
2010,AUG,2.5.2,Non-manufacturing industries,100.6,
2010,AUG,2.5.2.1,Feeds,-,
2010,AUG,2.5.2.2,Other supplies,100.6,
2010,AUG,3,Finished goods,99.9,
2010,AUG,3.1,Finished consumer goods,100.3,
2010,AUG,3.1.1,Finished consumer foods,100.6,
2010,AUG,3.1.1.1,Crude,99.8,
2010,AUG,3.1.1.2,Processed,100.6,
2010,AUG,3.1.2,Finished consumer goods excluding foods,100.2,
2010,AUG,3.1.2.1,Durable,100.2,
2010,AUG,3.1.2.2,Semi-durable,99.8,
2010,AUG,3.1.2.3,Non-durable,100.5,
2010,AUG,3.2,Capital equipment,99.7,
2010,AUG,3.2.1,Manufacturing industries,99.7,
2010,AUG,3.2.2,Non-manufacturing industries,99.7,
2010,SEP,Total,Total,98.8,
2010,SEP,1,Crude materials for further processing,98.9,
2010,SEP,1.1,Foodstuffs and feedstuffs,100.5,
2010,SEP,1.2,Non-food materials,98.5,
2010,SEP,1.2.1,Non-food materials except fuel,99.7,
2010,SEP,1.2.2,Crude fuel,97.9,
2010,SEP,2,Intermediate materials supplies and components,98.2,
2010,SEP,2.1,Materials and components for manufacturing,98.6,
2010,SEP,2.1.1,Materials for food manufacturing,98.8,
2010,SEP,2.1.2,Materials for others manufacturing,98.5,
2010,SEP,2.2,Materials and components for construction,100.6,
2010,SEP,2.3,Processed fuels and lubricants,96.0,
2010,SEP,2.4,Containers,102.1,
2010,SEP,2.5,Supplies,99.0,
2010,SEP,2.5.1,Manufacturing industries,98.9,
2010,SEP,2.5.2,Non-manufacturing industries,100.0,
2010,SEP,2.5.2.1,Feeds,-,
2010,SEP,2.5.2.2,Other supplies,100.0,
2010,SEP,3,Finished goods,100.0,
2010,SEP,3.1,Finished consumer goods,100.2,
2010,SEP,3.1.1,Finished consumer foods,100.3,
2010,SEP,3.1.1.1,Crude,98.1,
2010,SEP,3.1.1.2,Processed,100.6,
2010,SEP,3.1.2,Finished consumer goods excluding foods,100.1,
2010,SEP,3.1.2.1,Durable,100.2,
2010,SEP,3.1.2.2,Semi-durable,99.8,
