Year,Month,Stage of processing number,Stage of processing details,Index Value,
2016,FEB,3.1.1,Finished consumer foods,114.3,
2016,FEB,3.1.1.1,Crude,141.7,
2016,FEB,3.1.1.2,Processed,111.6,
2016,FEB,3.1.2,Finished consumer goods excluding foods,106.0,
2016,FEB,3.1.2.1,Durable,104.4,
2016,FEB,3.1.2.2,Semi-durable,110.3,
2016,FEB,3.1.2.3,Non-durable,104.1,
2016,FEB,3.2,Capital equipment,100.0,
2016,FEB,3.2.1,Manufacturing industries,101.8,
2016,FEB,3.2.2,Non-manufacturing industries,98.6,
2016,MAR,Total,Total,99.7,
2016,MAR,1,Crude materials for further processing,89.2,
2016,MAR,1.1,Foodstuffs and feedstuffs,122.6,
2016,MAR,1.2,Non-food materials,80.7,
2016,MAR,1.2.1,Non-food materials except fuel,93.5,
2016,MAR,1.2.2,Crude fuel,75.2,
2016,MAR,2,Intermediate materials supplies and components,102.4,
2016,MAR,2.1,Materials and components for manufacturing,101.4,
2016,MAR,2.1.1,Materials for food manufacturing,94.6,
2016,MAR,2.1.2,Materials for others manufacturing,104.1,
2016,MAR,2.2,Materials and components for construction,103.5,
2016,MAR,2.3,Processed fuels and lubricants,95.8,
2016,MAR,2.4,Containers,103.6,
2016,MAR,2.5,Supplies,119.0,
2016,MAR,2.5.1,Manufacturing industries,120.4,
2016,MAR,2.5.2,Non-manufacturing industries,109.0,
2016,MAR,2.5.2.1,Feeds,-,
2016,MAR,2.5.2.2,Other supplies,109.0,
2016,MAR,3,Finished goods,102.4,
2016,MAR,3.1,Finished consumer goods,108.3,
2016,MAR,3.1.1,Finished consumer foods,114.0,
2016,MAR,3.1.1.1,Crude,137.1,
2016,MAR,3.1.1.2,Processed,111.7,
2016,MAR,3.1.2,Finished consumer goods excluding foods,105.8,
2016,MAR,3.1.2.1,Durable,104.4,
2016,MAR,3.1.2.2,Semi-durable,109.9,
2016,MAR,3.1.2.3,Non-durable,103.8,
2016,MAR,3.2,Capital equipment,99.6,
2016,MAR,3.2.1,Manufacturing industries,100.9,
2016,MAR,3.2.2,Non-manufacturing industries,98.6,
2016,APR,Total,Total,100.2,
2016,APR,1,Crude materials for further processing,90.1,
2016,APR,1.1,Foodstuffs and feedstuffs,121.8,
2016,APR,1.2,Non-food materials,82.0,
2016,APR,1.2.1,Non-food materials except fuel,98.1,
2016,APR,1.2.2,Crude fuel,75.2,
2016,APR,2,Intermediate materials supplies and components,103.0,
2016,APR,2.1,Materials and components for manufacturing,102.7,
2016,APR,2.1.1,Materials for food manufacturing,95.4,
2016,APR,2.1.2,Materials for others manufacturing,105.6,
2016,APR,2.2,Materials and components for construction,103.4,
2016,APR,2.3,Processed fuels and lubricants,95.5,
2016,APR,2.4,Containers,104.0,
2016,APR,2.5,Supplies,118.9,
2016,APR,2.5.1,Manufacturing industries,120.4,
2016,APR,2.5.2,Non-manufacturing industries,108.6,
2016,APR,2.5.2.1,Feeds,-,
2016,APR,2.5.2.2,Other supplies,108.6,
2016,APR,3,Finished goods,102.4,
2016,APR,3.1,Finished consumer goods,108.5,
2016,APR,3.1.1,Finished consumer foods,114.5,
2016,APR,3.1.1.1,Crude,139.3,
2016,APR,3.1.1.2,Processed,112.1,
2016,APR,3.1.2,Finished consumer goods excluding foods,105.9,
2016,APR,3.1.2.1,Durable,104.4,
2016,APR,3.1.2.2,Semi-durable,110.3,
2016,APR,3.1.2.3,Non-durable,103.8,
2016,APR,3.2,Capital equipment,99.4,
2016,APR,3.2.1,Manufacturing industries,100.4,
2016,APR,3.2.2,Non-manufacturing industries,98.6,
2016,MAY,Total,Total,99.5,
2016,MAY,1,Crude materials for further processing,93.7,
2016,MAY,1.1,Foodstuffs and feedstuffs,123.0,
2016,MAY,1.2,Non-food materials,86.3,
2016,MAY,1.2.1,Non-food materials except fuel,97.5,
2016,MAY,1.2.2,Crude fuel,81.6,
2016,MAY,2,Intermediate materials supplies and components,100.4,
2016,MAY,2.1,Materials and components for manufacturing,103.0,
2016,MAY,2.1.1,Materials for food manufacturing,96.0,
2016,MAY,2.1.2,Materials for others manufacturing,105.8,
2016,MAY,2.2,Materials and components for construction,103.3,
2016,MAY,2.3,Processed fuels and lubricants,83.7,
2016,MAY,2.4,Containers,104.2,
2016,MAY,2.5,Supplies,119.7,
2016,MAY,2.5.1,Manufacturing industries,121.3,
2016,MAY,2.5.2,Non-manufacturing industries,108.0,
2016,MAY,2.5.2.1,Feeds,-,
2016,MAY,2.5.2.2,Other supplies,108.0,
2016,MAY,3,Finished goods,102.4,
2016,MAY,3.1,Finished consumer goods,108.7,
2016,MAY,3.1.1,Finished consumer foods,114.4,
2016,MAY,3.1.1.1,Crude,138.9,
2016,MAY,3.1.1.2,Processed,112.0,
2016,MAY,3.1.2,Finished consumer goods excluding foods,106.2,
2016,MAY,3.1.2.1,Durable,104.4,
2016,MAY,3.1.2.2,Semi-durable,110.5,
2016,MAY,3.1.2.3,Non-durable,104.3,
2016,MAY,3.2,Capital equipment,99.4,
2016,MAY,3.2.1,Manufacturing industries,100.6,
2016,MAY,3.2.2,Non-manufacturing industries,98.5,
2016,JUN,Total,Total,99.9,
2016,JUN,1,Crude materials for further processing,96.2,
2016,JUN,1.1,Foodstuffs and feedstuffs,123.8,
2016,JUN,1.2,Non-food materials,89.2,
2016,JUN,1.2.1,Non-food materials except fuel,96.6,
2016,JUN,1.2.2,Crude fuel,86.0,
2016,JUN,2,Intermediate materials supplies and components,100.1,
2016,JUN,2.1,Materials and components for manufacturing,102.9,
2016,JUN,2.1.1,Materials for food manufacturing,95.5,
2016,JUN,2.1.2,Materials for others manufacturing,105.9,
2016,JUN,2.2,Materials and components for construction,103.8,
2016,JUN,2.3,Processed fuels and lubricants,82.6,
2016,JUN,2.4,Containers,104.6,
2016,JUN,2.5,Supplies,119.7,
2016,JUN,2.5.1,Manufacturing industries,121.2,
2016,JUN,2.5.2,Non-manufacturing industries,109.0,
2016,JUN,2.5.2.1,Feeds,-,
2016,JUN,2.5.2.2,Other supplies,109.0,
2016,JUN,3,Finished goods,102.4,
2016,JUN,3.1,Finished consumer goods,108.7,
2016,JUN,3.1.1,Finished consumer foods,114.3,
2016,JUN,3.1.1.1,Crude,138.8,
2016,JUN,3.1.1.2,Processed,111.9,
2016,JUN,3.1.2,Finished consumer goods excluding foods,106.3,
2016,JUN,3.1.2.1,Durable,104.4,
2016,JUN,3.1.2.2,Semi-durable,110.4,
2016,JUN,3.1.2.3,Non-durable,104.6,
2016,JUN,3.2,Capital equipment,99.3,
2016,JUN,3.2.1,Manufacturing industries,100.5,
2016,JUN,3.2.2,Non-manufacturing industries,98.5,
2016,JUL,Total,Total,99.0,
2016,JUL,1,Crude materials for further processing,90.8,
2016,JUL,1.1,Foodstuffs and feedstuffs,126.6,
2016,JUL,1.2,Non-food materials,81.7,
2016,JUL,1.2.1,Non-food materials except fuel,89.6,
2016,JUL,1.2.2,Crude fuel,78.4,
2016,JUL,2,Intermediate materials supplies and components,100.5,
2016,JUL,2.1,Materials and components for manufacturing,101.7,
2016,JUL,2.1.1,Materials for food manufacturing,93.8,
2016,JUL,2.1.2,Materials for others manufacturing,104.9,
2016,JUL,2.2,Materials and components for construction,103.8,
2016,JUL,2.3,Processed fuels and lubricants,87.0,
2016,JUL,2.4,Containers,104.2,
2016,JUL,2.5,Supplies,119.3,
2016,JUL,2.5.1,Manufacturing industries,120.7,
2016,JUL,2.5.2,Non-manufacturing industries,109.0,
2016,JUL,2.5.2.1,Feeds,-,
2016,JUL,2.5.2.2,Other supplies,109.0,
2016,JUL,3,Finished goods,102.1,
2016,JUL,3.1,Finished consumer goods,108.6,
2016,JUL,3.1.1,Finished consumer foods,114.4,
2016,JUL,3.1.1.1,Crude,141.6,
2016,JUL,3.1.1.2,Processed,111.7,
2016,JUL,3.1.2,Finished consumer goods excluding foods,106.1,
2016,JUL,3.1.2.1,Durable,104.5,
2016,JUL,3.1.2.2,Semi-durable,110.3,
2016,JUL,3.1.2.3,Non-durable,104.1,
2016,JUL,3.2,Capital equipment,99.0,
2016,JUL,3.2.1,Manufacturing industries,99.9,
2016,JUL,3.2.2,Non-manufacturing industries,98.3,
2016,AUG,Total,Total,100.2,
2016,AUG,1,Crude materials for further processing,93.5,
2016,AUG,1.1,Foodstuffs and feedstuffs,126.2,
2016,AUG,1.2,Non-food materials,85.2,
2016,AUG,1.2.1,Non-food materials except fuel,99.9,
2016,AUG,1.2.2,Crude fuel,78.9,
2016,AUG,2,Intermediate materials supplies and components,101.8,
2016,AUG,2.1,Materials and components for manufacturing,102.4,
2016,AUG,2.1.1,Materials for food manufacturing,95.9,
2016,AUG,2.1.2,Materials for others manufacturing,104.9,
2016,AUG,2.2,Materials and components for construction,103.8,
2016,AUG,2.3,Processed fuels and lubricants,90.1,
2016,AUG,2.4,Containers,104.5,
2016,AUG,2.5,Supplies,120.6,
2016,AUG,2.5.1,Manufacturing industries,122.1,
2016,AUG,2.5.2,Non-manufacturing industries,110.0,
2016,AUG,2.5.2.1,Feeds,-,
2016,AUG,2.5.2.2,Other supplies,110.0,
2016,AUG,3,Finished goods,102.3,
2016,AUG,3.1,Finished consumer goods,109.0,
2016,AUG,3.1.1,Finished consumer foods,115.0,
2016,AUG,3.1.1.1,Crude,144.1,
2016,AUG,3.1.1.2,Processed,112.1,
2016,AUG,3.1.2,Finished consumer goods excluding foods,106.4,
2016,AUG,3.1.2.1,Durable,104.4,
2016,AUG,3.1.2.2,Semi-durable,111.2,
2016,AUG,3.1.2.3,Non-durable,104.3,
2016,AUG,3.2,Capital equipment,99.1,
2016,AUG,3.2.1,Manufacturing industries,100.1,
2016,AUG,3.2.2,Non-manufacturing industries,98.3,
2016,SEP,Total,Total,102.0,
2016,SEP,1,Crude materials for further processing,97.7,
2016,SEP,1.1,Foodstuffs and feedstuffs,125.3,
2016,SEP,1.2,Non-food materials,90.6,
2016,SEP,1.2.1,Non-food materials except fuel,109.7,
2016,SEP,1.2.2,Crude fuel,82.6,
2016,SEP,2,Intermediate materials supplies and components,103.3,
2016,SEP,2.1,Materials and components for manufacturing,103.3,
2016,SEP,2.1.1,Materials for food manufacturing,97.4,
2016,SEP,2.1.2,Materials for others manufacturing,105.7,
2016,SEP,2.2,Materials and components for construction,104.0,
2016,SEP,2.3,Processed fuels and lubricants,93.4,
2016,SEP,2.4,Containers,104.4,
2016,SEP,2.5,Supplies,121.7,
2016,SEP,2.5.1,Manufacturing industries,123.3,
2016,SEP,2.5.2,Non-manufacturing industries,110.7,
2016,SEP,2.5.2.1,Feeds,-,
2016,SEP,2.5.2.2,Other supplies,110.7,
2016,SEP,3,Finished goods,102.6,
2016,SEP,3.1,Finished consumer goods,109.1,
2016,SEP,3.1.1,Finished consumer foods,114.6,
2016,SEP,3.1.1.1,Crude,142.2,
2016,SEP,3.1.1.2,Processed,111.9,
2016,SEP,3.1.2,Finished consumer goods excluding foods,106.6,
2016,SEP,3.1.2.1,Durable,104.5,
2016,SEP,3.1.2.2,Semi-durable,111.6,
2016,SEP,3.1.2.3,Non-durable,104.6,
2016,SEP,3.2,Capital equipment,99.5,
2016,SEP,3.2.1,Manufacturing industries,101.0,
2016,SEP,3.2.2,Non-manufacturing industries,98.4,
2016,OCT,Total,Total,102.7,
2016,OCT,1,Crude materials for further processing,99.2,
2016,OCT,1.1,Foodstuffs and feedstuffs,123.1,
2016,OCT,1.2,Non-food materials,93.1,
2016,OCT,1.2.1,Non-food materials except fuel,102.4,
2016,OCT,1.2.2,Crude fuel,89.2,
2016,OCT,2,Intermediate materials supplies and components,104.1,
2016,OCT,2.1,Materials and components for manufacturing,104.5,
2016,OCT,2.1.1,Materials for food manufacturing,99.6,
2016,OCT,2.1.2,Materials for others manufacturing,106.4,
2016,OCT,2.2,Materials and components for construction,103.8,
2016,OCT,2.3,Processed fuels and lubricants,94.5,
2016,OCT,2.4,Containers,104.1,
2016,OCT,2.5,Supplies,121.6,
2016,OCT,2.5.1,Manufacturing industries,123.2,
2016,OCT,2.5.2,Non-manufacturing industries,109.8,
2016,OCT,2.5.2.1,Feeds,-,
2016,OCT,2.5.2.2,Other supplies,109.8,
2016,OCT,3,Finished goods,102.6,
2016,OCT,3.1,Finished consumer goods,109.1,
2016,OCT,3.1.1,Finished consumer foods,114.7,
2016,OCT,3.1.1.1,Crude,140.6,
2016,OCT,3.1.1.2,Processed,112.1,
2016,OCT,3.1.2,Finished consumer goods excluding foods,106.6,
2016,OCT,3.1.2.1,Durable,104.4,
2016,OCT,3.1.2.2,Semi-durable,111.5,
2016,OCT,3.1.2.3,Non-durable,104.7,
2016,OCT,3.2,Capital equipment,99.6,
2016,OCT,3.2.1,Manufacturing industries,101.2,
2016,OCT,3.2.2,Non-manufacturing industries,98.3,
2016,NOV,Total,Total,103.8,
2016,NOV,1,Crude materials for further processing,99.3,
2016,NOV,1.1,Foodstuffs and feedstuffs,124.1,
2016,NOV,1.2,Non-food materials,93.0,
2016,NOV,1.2.1,Non-food materials except fuel,111.2,
2016,NOV,1.2.2,Crude fuel,85.3,
2016,NOV,2,Intermediate materials supplies and components,106.2,
2016,NOV,2.1,Materials and components for manufacturing,107.1,
2016,NOV,2.1.1,Materials for food manufacturing,102.6,
2016,NOV,2.1.2,Materials for others manufacturing,108.8,
2016,NOV,2.2,Materials and components for construction,104.3,
2016,NOV,2.3,Processed fuels and lubricants,97.5,
2016,NOV,2.4,Containers,104.4,
2016,NOV,2.5,Supplies,121.0,
2016,NOV,2.5.1,Manufacturing industries,122.5,
2016,NOV,2.5.2,Non-manufacturing industries,109.9,
2016,NOV,2.5.2.1,Feeds,-,
2016,NOV,2.5.2.2,Other supplies,109.9,
2016,NOV,3,Finished goods,102.6,
2016,NOV,3.1,Finished consumer goods,108.6,
2016,NOV,3.1.1,Finished consumer foods,114.1,
2016,NOV,3.1.1.1,Crude,139.8,
2016,NOV,3.1.1.2,Processed,111.5,
2016,NOV,3.1.2,Finished consumer goods excluding foods,106.2,
2016,NOV,3.1.2.1,Durable,104.4,
2016,NOV,3.1.2.2,Semi-durable,110.7,
2016,NOV,3.1.2.3,Non-durable,104.4,
2016,NOV,3.2,Capital equipment,99.7,
2016,NOV,3.2.1,Manufacturing industries,101.3,
2016,NOV,3.2.2,Non-manufacturing industries,98.4,
2016,DEC,Total,Total,107.5,
2016,DEC,1,Crude materials for further processing,111.5,
2016,DEC,1.1,Foodstuffs and feedstuffs,124.0,
2016,DEC,1.2,Non-food materials,108.3,
2016,DEC,1.2.1,Non-food materials except fuel,125.1,
2016,DEC,1.2.2,Crude fuel,101.2,
2016,DEC,2,Intermediate materials supplies and components,108.3,
2016,DEC,2.1,Materials and components for manufacturing,109.7,
2016,DEC,2.1.1,Materials for food manufacturing,107.2,
2016,DEC,2.1.2,Materials for others manufacturing,110.7,
2016,DEC,2.2,Materials and components for construction,104.4,
2016,DEC,2.3,Processed fuels and lubricants,100.1,
2016,DEC,2.4,Containers,105.0,
2016,DEC,2.5,Supplies,122.0,
2016,DEC,2.5.1,Manufacturing industries,122.9,
2016,DEC,2.5.2,Non-manufacturing industries,115.6,
2016,DEC,2.5.2.1,Feeds,-,
2016,DEC,2.5.2.2,Other supplies,115.6,
2016,DEC,3,Finished goods,102.8,
2016,DEC,3.1,Finished consumer goods,108.6,
2016,DEC,3.1.1,Finished consumer foods,113.9,
2016,DEC,3.1.1.1,Crude,139.2,
2016,DEC,3.1.1.2,Processed,111.4,
2016,DEC,3.1.2,Finished consumer goods excluding foods,106.2,
2016,DEC,3.1.2.1,Durable,104.3,
2016,DEC,3.1.2.2,Semi-durable,111.1,
2016,DEC,3.1.2.3,Non-durable,104.1,
2016,DEC,3.2,Capital equipment,100.1,
2016,DEC,3.2.1,Manufacturing industries,101.9,
2016,DEC,3.2.2,Non-manufacturing industries,98.6,
2017,JAN,Total,Total,109.6,
2017,JAN,1,Crude materials for further processing,115.0,
2017,JAN,1.1,Foodstuffs and feedstuffs,125.8,
2017,JAN,1.2,Non-food materials,112.3,
2017,JAN,1.2.1,Non-food materials except fuel,128.1,
2017,JAN,1.2.2,Crude fuel,105.5,
2017,JAN,2,Intermediate materials supplies and components,110.6,
2017,JAN,2.1,Materials and components for manufacturing,111.9,
2017,JAN,2.1.1,Materials for food manufacturing,110.7,
2017,JAN,2.1.2,Materials for others manufacturing,112.3,
2017,JAN,2.2,Materials and components for construction,105.1,
2017,JAN,2.3,Processed fuels and lubricants,104.8,
2017,JAN,2.4,Containers,105.5,
2017,JAN,2.5,Supplies,121.7,
2017,JAN,2.5.1,Manufacturing industries,122.2,
2017,JAN,2.5.2,Non-manufacturing industries,118.3,
2017,JAN,2.5.2.1,Feeds,118.3,
2017,JAN,2.5.2.2,Other supplies,118.3,
2017,JAN,3,Finished goods,103.2,
2017,JAN,3.1,Finished consumer goods,109.5,
2017,JAN,3.1.1,Finished consumer foods,115.4,
2017,JAN,3.1.1.1,Crude,141.2,
2017,JAN,3.1.1.2,Processed,112.9,
2017,JAN,3.1.2,Finished consumer goods excluding foods,106.9,
2017,JAN,3.1.2.1,Durable,104.2,
2017,JAN,3.1.2.2,Semi-durable,111.3,
2017,JAN,3.1.2.3,Non-durable,105.8,
2017,JAN,3.2,Capital equipment,100.3,
2017,JAN,3.2.1,Manufacturing industries,102.4,
2017,JAN,3.2.2,Non-manufacturing industries,98.6,
2017,FEB,Total,Total,110.4,
2017,FEB,1,Crude materials for further processing,115.1,
2017,FEB,1.1,Foodstuffs and feedstuffs,129.6,
2017,FEB,1.2,Non-food materials,111.4,
2017,FEB,1.2.1,Non-food materials except fuel,124.9,
2017,FEB,1.2.2,Crude fuel,105.7,
2017,FEB,2,Intermediate materials supplies and components,112.0,
2017,FEB,2.1,Materials and components for manufacturing,112.7,
2017,FEB,2.1.1,Materials for food manufacturing,111.6,
2017,FEB,2.1.2,Materials for others manufacturing,113.2,
2017,FEB,2.2,Materials and components for construction,105.1,
2017,FEB,2.3,Processed fuels and lubricants,108.4,
2017,FEB,2.4,Containers,107.0,
2017,FEB,2.5,Supplies,121.8,
2017,FEB,2.5.1,Manufacturing industries,122.3,
2017,FEB,2.5.2,Non-manufacturing industries,118.1,
2017,FEB,2.5.2.1,Feeds,118.1,
2017,FEB,2.5.2.2,Other supplies,118.1,
2017,FEB,3,Finished goods,103.6,
2017,FEB,3.1,Finished consumer goods,110.3,
2017,FEB,3.1.1,Finished consumer foods,116.5,
2017,FEB,3.1.1.1,Crude,147.1,
2017,FEB,3.1.1.2,Processed,113.5,
2017,FEB,3.1.2,Finished consumer goods excluding foods,107.5,
2017,FEB,3.1.2.1,Durable,104.3,
2017,FEB,3.1.2.2,Semi-durable,111.5,
2017,FEB,3.1.2.3,Non-durable,106.9,
2017,FEB,3.2,Capital equipment,100.4,
2017,FEB,3.2.1,Manufacturing industries,102.5,
2017,FEB,3.2.2,Non-manufacturing industries,98.7,
2017,MAR,Total,Total,108.7,
2017,MAR,1,Crude materials for further processing,108.1,
2017,MAR,1.1,Foodstuffs and feedstuffs,129.3,
2017,MAR,1.2,Non-food materials,102.7,
2017,MAR,1.2.1,Non-food materials except fuel,109.7,
2017,MAR,1.2.2,Crude fuel,99.7,
2017,MAR,2,Intermediate materials supplies and components,111.2,
2017,MAR,2.1,Materials and components for manufacturing,111.6,
2017,MAR,2.1.1,Materials for food manufacturing,108.9,
2017,MAR,2.1.2,Materials for others manufacturing,112.6,
2017,MAR,2.2,Materials and components for construction,105.2,
2017,MAR,2.3,Processed fuels and lubricants,107.6,
2017,MAR,2.4,Containers,107.5,
2017,MAR,2.5,Supplies,121.6,
2017,MAR,2.5.1,Manufacturing industries,122.1,
2017,MAR,2.5.2,Non-manufacturing industries,117.8,
2017,MAR,2.5.2.1,Feeds,117.8,
2017,MAR,2.5.2.2,Other supplies,117.8,
2017,MAR,3,Finished goods,103.9,
2017,MAR,3.1,Finished consumer goods,110.7,
2017,MAR,3.1.1,Finished consumer foods,117.3,
2017,MAR,3.1.1.1,Crude,144.1,
2017,MAR,3.1.1.2,Processed,114.6,
2017,MAR,3.1.2,Finished consumer goods excluding foods,107.8,
2017,MAR,3.1.2.1,Durable,104.6,
2017,MAR,3.1.2.2,Semi-durable,112.0,
2017,MAR,3.1.2.3,Non-durable,107.1,
2017,MAR,3.2,Capital equipment,100.7,
2017,MAR,3.2.1,Manufacturing industries,102.8,
2017,MAR,3.2.2,Non-manufacturing industries,99.1,
2017,APR,Total,Total,107.7,
2017,APR,1,Crude materials for further processing,106.1,
2017,APR,1.1,Foodstuffs and feedstuffs,129.6,
2017,APR,1.2,Non-food materials,100.2,
2017,APR,1.2.1,Non-food materials except fuel,99.9,
2017,APR,1.2.2,Crude fuel,100.4,
2017,APR,2,Intermediate materials supplies and components,110.1,
2017,APR,2.1,Materials and components for manufacturing,110.1,
2017,APR,2.1.1,Materials for food manufacturing,106.8,
2017,APR,2.1.2,Materials for others manufacturing,111.3,
2017,APR,2.2,Materials and components for construction,106.1,
2017,APR,2.3,Processed fuels and lubricants,106.3,
2017,APR,2.4,Containers,108.9,
2017,APR,2.5,Supplies,121.2,
2017,APR,2.5.1,Manufacturing industries,121.6,
2017,APR,2.5.2,Non-manufacturing industries,118.3,
2017,APR,2.5.2.1,Feeds,118.3,
2017,APR,2.5.2.2,Other supplies,118.3,
2017,APR,3,Finished goods,103.8,
2017,APR,3.1,Finished consumer goods,111.0,
2017,APR,3.1.1,Finished consumer foods,117.7,
2017,APR,3.1.1.1,Crude,146.6,
2017,APR,3.1.1.2,Processed,114.8,
2017,APR,3.1.2,Finished consumer goods excluding foods,108.0,
2017,APR,3.1.2.1,Durable,104.6,
2017,APR,3.1.2.2,Semi-durable,112.1,
2017,APR,3.1.2.3,Non-durable,107.6,
2017,APR,3.2,Capital equipment,100.3,
2017,APR,3.2.1,Manufacturing industries,102.3,
2017,APR,3.2.2,Non-manufacturing industries,98.8,
2017,MAY,Total,Total,107.5,
2017,MAY,1,Crude materials for further processing,104.3,
2017,MAY,1.1,Foodstuffs and feedstuffs,131.7,
2017,MAY,1.2,Non-food materials,97.4,
2017,MAY,1.2.1,Non-food materials except fuel,102.6,
2017,MAY,1.2.2,Crude fuel,95.1,
2017,MAY,2,Intermediate materials supplies and components,110.5,
2017,MAY,2.1,Materials and components for manufacturing,109.6,
2017,MAY,2.1.1,Materials for food manufacturing,105.7,
2017,MAY,2.1.2,Materials for others manufacturing,111.2,
2017,MAY,2.2,Materials and components for construction,106.0,
2017,MAY,2.3,Processed fuels and lubricants,108.8,
2017,MAY,2.4,Containers,109.0,
2017,MAY,2.5,Supplies,121.1,
2017,MAY,2.5.1,Manufacturing industries,121.5,
2017,MAY,2.5.2,Non-manufacturing industries,118.4,
2017,MAY,2.5.2.1,Feeds,118.4,
2017,MAY,2.5.2.2,Other supplies,118.4,
2017,MAY,3,Finished goods,103.8,
2017,MAY,3.1,Finished consumer goods,110.6,
2017,MAY,3.1.1,Finished consumer foods,117.2,
2017,MAY,3.1.1.1,Crude,142.5,
2017,MAY,3.1.1.2,Processed,114.7,
2017,MAY,3.1.2,Finished consumer goods excluding foods,107.7,
2017,MAY,3.1.2.1,Durable,104.4,
2017,MAY,3.1.2.2,Semi-durable,111.9,
2017,MAY,3.1.2.3,Non-durable,107.1,
2017,MAY,3.2,Capital equipment,100.5,
2017,MAY,3.2.1,Manufacturing industries,102.2,
2017,MAY,3.2.2,Non-manufacturing industries,99.2,
2017,JUN,Total,Total,106.3,
2017,JUN,1,Crude materials for further processing,100.0,
2017,JUN,1.1,Foodstuffs and feedstuffs,133.4,
2017,JUN,1.2,Non-food materials,91.6,
2017,JUN,1.2.1,Non-food materials except fuel,97.6,
2017,JUN,1.2.2,Crude fuel,89.0,
2017,JUN,2,Intermediate materials supplies and components,110.0,
2017,JUN,2.1,Materials and components for manufacturing,107.7,
2017,JUN,2.1.1,Materials for food manufacturing,103.7,
2017,JUN,2.1.2,Materials for others manufacturing,109.3,
2017,JUN,2.2,Materials and components for construction,105.7,
2017,JUN,2.3,Processed fuels and lubricants,111.2,
2017,JUN,2.4,Containers,109.6,
2017,JUN,2.5,Supplies,120.6,
2017,JUN,2.5.1,Manufacturing industries,121.0,
2017,JUN,2.5.2,Non-manufacturing industries,118.2,
2017,JUN,2.5.2.1,Feeds,118.2,
2017,JUN,2.5.2.2,Other supplies,118.2,
2017,JUN,3,Finished goods,103.7,
2017,JUN,3.1,Finished consumer goods,110.7,
2017,JUN,3.1.1,Finished consumer foods,117.4,
2017,JUN,3.1.1.1,Crude,141.3,
2017,JUN,3.1.1.2,Processed,115.0,
2017,JUN,3.1.2,Finished consumer goods excluding foods,107.8,
2017,JUN,3.1.2.1,Durable,104.4,
2017,JUN,3.1.2.2,Semi-durable,112.4,
2017,JUN,3.1.2.3,Non-durable,107.0,
2017,JUN,3.2,Capital equipment,100.4,
2017,JUN,3.2.1,Manufacturing industries,102.6,
2017,JUN,3.2.2,Non-manufacturing industries,98.6,
2017,JUL,Total,Total,106.0,
2017,JUL,1,Crude materials for further processing,101.2,
2017,JUL,1.1,Foodstuffs and feedstuffs,134.6,
2017,JUL,1.2,Non-food materials,92.7,
2017,JUL,1.2.1,Non-food materials except fuel,95.5,
2017,JUL,1.2.2,Crude fuel,91.5,
2017,JUL,2,Intermediate materials supplies and components,109.1,
2017,JUL,2.1,Materials and components for manufacturing,106.6,
2017,JUL,2.1.1,Materials for food manufacturing,101.3,
2017,JUL,2.1.2,Materials for others manufacturing,108.7,
2017,JUL,2.2,Materials and components for construction,105.8,
2017,JUL,2.3,Processed fuels and lubricants,109.8,
2017,JUL,2.4,Containers,111.2,
2017,JUL,2.5,Supplies,120.8,
2017,JUL,2.5.1,Manufacturing industries,121.3,
2017,JUL,2.5.2,Non-manufacturing industries,117.7,
2017,JUL,2.5.2.1,Feeds,117.7,
2017,JUL,2.5.2.2,Other supplies,117.7,
2017,JUL,3,Finished goods,103.4,
2017,JUL,3.1,Finished consumer goods,110.6,
2017,JUL,3.1.1,Finished consumer foods,117.1,
2017,JUL,3.1.1.1,Crude,144.7,
2017,JUL,3.1.1.2,Processed,114.4,
2017,JUL,3.1.2,Finished consumer goods excluding foods,107.7,
2017,JUL,3.1.2.1,Durable,104.0,
2017,JUL,3.1.2.2,Semi-durable,112.8,
2017,JUL,3.1.2.3,Non-durable,106.7,
2017,JUL,3.2,Capital equipment,99.9,
2017,JUL,3.2.1,Manufacturing industries,102.4,
2017,JUL,3.2.2,Non-manufacturing industries,98.0,
2017,AUG,Total,Total,106.9,
2017,AUG,1,Crude materials for further processing,104.0,
2017,AUG,1.1,Foodstuffs and feedstuffs,133.7,
2017,AUG,1.2,Non-food materials,96.5,
2017,AUG,1.2.1,Non-food materials except fuel,98.0,
2017,AUG,1.2.2,Crude fuel,95.8,
2017,AUG,2,Intermediate materials supplies and components,109.6,
2017,AUG,2.1,Materials and components for manufacturing,106.9,
2017,AUG,2.1.1,Materials for food manufacturing,100.8,
2017,AUG,2.1.2,Materials for others manufacturing,109.3,
2017,AUG,2.2,Materials and components for construction,105.9,
2017,AUG,2.3,Processed fuels and lubricants,111.1,
2017,AUG,2.4,Containers,111.0,
2017,AUG,2.5,Supplies,121.0,
2017,AUG,2.5.1,Manufacturing industries,121.4,
2017,AUG,2.5.2,Non-manufacturing industries,118.0,
2017,AUG,2.5.2.1,Feeds,118.0,
2017,AUG,2.5.2.2,Other supplies,118.0,
2017,AUG,3,Finished goods,103.4,
2017,AUG,3.1,Finished consumer goods,110.6,
2017,AUG,3.1.1,Finished consumer foods,117.4,
2017,AUG,3.1.1.1,Crude,143.4,
2017,AUG,3.1.1.2,Processed,114.8,
2017,AUG,3.1.2,Finished consumer goods excluding foods,107.6,
2017,AUG,3.1.2.1,Durable,103.3,
